Decade,Date,Time,Location,Operator,Flight_Num,Route,Ac_Type,Registration,Cn_Ln,Aboard,Fatalities,Ground,Summary,Aboard_Total,Fatalities_Total,Operator_vs_Military,Country_location,Code,Country_Geopy,State_Code
1950,1953-08-18,,"Near San Diego, California",Aerovias Contreras,,,Curtiss C-46A,XA-GOT,26403,"{'total': 2, 'passengers': 0, 'crew': 2}","{'total': 2, 'passengers': 0, 'crew': 2}",0.0,The cargo plane flew into a mountain east of San Diego.,2,2,Aerovias Contreras,"{'place_id': 307571349, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 532392592, 'lat': '32.75988325', 'lon': '-117.16722825', 'class': 'tourism', 'type': 'hotel', 'place_rank': 30, 'importance': 1e-05, 'addresstype': 'tourism', 'name': 'Days Inn San Diego Hotel Circle Near SeaWorld', 'display_name': 'Days Inn San Diego Hotel Circle Near SeaWorld, 543, Hotel Circle South, Hillcrest, San Diego, San Diego County, California, 92108, United States', 'boundingbox': ['32.7593801', '32.7603864', '-117.1674027', '-117.1670538']}",USA,"California, United States",CA
1950,1953-09-01,1842,"Vail, Washington",Regina Cargo Airlines,,Fort Ord - McChord,Douglas DC-3,N19941,6333,"{'total': 21, 'passengers': 19, 'crew': 2}","{'total': 21, 'passengers': 19, 'crew': 2}",0.0,"Crashed on the fringe of the Cascade mountains, 26 nm short of McChord AFB. The pilot's attempt to continue flight under the provisions of VFR during IFR conditions.",21,21,Regina Cargo Airlines,"{'place_id': 312486284, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 150945862, 'lat': '46.8451007', 'lon': '-122.6562348', 'class': 'place', 'type': 'hamlet', 'place_rank': 20, 'importance': 0.25001, 'addresstype': 'hamlet', 'name': 'Vail', 'display_name': 'Vail, Thurston County, Washington, United States', 'boundingbox': ['46.8251007', '46.8651007', '-122.6762348', '-122.6362348']}",USA,"Washington, United States",WA
1950,1953-09-16,0834,"Albany, New York",American Airlines,723,Boston - Hartford - Albany - Chicago,Convair CV-240-0,N94255,116,"{'total': 28, 'passengers': 25, 'crew': 3}","{'total': 28, 'passengers': 25, 'crew': 3}",0.0,"After circling, the aircraft crashed into two radio towers while on approach to Albany Municipal Airport. While the pilot was aligning with the runway, he descended below obstructions partially obscured by fog and crashed into radio towers. Crew's failure to abandon the landing under adverse weather conditions.",28,28,American Airlines,"{'place_id': 10658638, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 175549, 'lat': '42.6511674', 'lon': '-73.754968', 'class': 'boundary', 'type': 'administrative', 'place_rank': 14, 'importance': 0.6027312005000001, 'addresstype': 'city', 'name': 'City of Albany', 'display_name': 'City of Albany, Albany County, New York, United States', 'boundingbox': ['42.6135280', '42.7221258', '-73.8974570', '-73.7232290']}",USA,"New York, United States",NY
1950,1953-09-28,1618,"Louisville, Kentucky",Resort Airlines,,Philadelphia - Louisville,Curtiss C-46F-1-CU,N66534,22384,"{'total': 41, 'passengers': 38, 'crew': 3}","{'total': 25, 'passengers': 22, 'crew': 3}",0.0,"While the plane was attempting to land it entered a steep climb, stalled and crashed. The structural failure of the left elevator in flight, causing loss of control. This structural failure was brought about by the left outboard hinge bolt backing out of the assembly. The underlying cause was improper maintenance which resulted in the installation of hinge bolts and bearings not meeting specifications, and inadequate inspection which failed to detect this condition.",41,25,Resort Airlines,"{'place_id': 325260492, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1804307, 'lat': '38.2542376', 'lon': '-85.759407', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.6196532157, 'addresstype': 'city', 'name': 'Louisville', 'display_name': 'Louisville, Jefferson County, Kentucky, United States', 'boundingbox': ['37.9971000', '38.3801391', '-85.9470644', '-85.4051000']}",USA,"Kentucky, United States",KY
1950,1953-10-19,0056,"New York City, New York",Eastern Air Lines,627,New York City - San Juan,Lockheed 749A Constellation,N119A,2616,"{'total': 27, 'passengers': 22, 'crew': 5}","{'total': 2, 'passengers': 2, 'crew': 0}",0.0,The aircraft crashed a few seconds after becoming airborne. The captain's loss of visual reference and orientation when he encountered drifting fog shortly after becoming airborne on take-off and the resultant inadvertent assumption of a descending flight path.,27,2,Eastern Air Lines,"{'place_id': 371663561, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 175905, 'lat': '40.7127281', 'lon': '-74.0060152', 'class': 'boundary', 'type': 'administrative', 'place_rank': 10, 'importance': 0.8175766115, 'addresstype': 'city', 'name': 'New York', 'display_name': 'New York, United States', 'boundingbox': ['40.4765780', '40.9176300', '-74.2588430', '-73.7002330']}",USA,"New York, United States",NY
1950,1953-10-29,0844,"Near Half Moon Bay, California",British Commonwealth Pacific Airlines,304/44,Sydney - Honolulu - San Francisco,Douglas DC-6,VH-BPE,43125/131,"{'total': 19, 'passengers': 11, 'crew': 8}","{'total': 19, 'passengers': 11, 'crew': 8}",0.0,"While flying in fog on an approach to San Francisco International Airport, the aircraft crashed into a redwood forest on a mountain ridge, 7.5 miles southeast of Half Moon Bay. The plane struck the ridge of King's Mountain and broke up, scattering wreckage over a half-mile area.  Failure of the crew to follow prescribed procedures for an instrument approach. American pianist, William Kapell, 31, killed.",19,19,British Commonwealth Pacific Airlines,"{'place_id': 309634591, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 165475, 'lat': '36.7014631', 'lon': '-118.755997', 'class': 'boundary', 'type': 'administrative', 'place_rank': 8, 'importance': 0.8121363842, 'addresstype': 'state', 'name': 'California', 'display_name': 'California, United States', 'boundingbox': ['32.5295236', '42.0094990', '-124.4820030', '-114.1307816']}",USA,"California, United States",CA
1940,1947-01-05,c 20:00,"Carmel, New Jersey",Nationwide Air Transport,,Miami - Raleigh - Washington,Douglas DC-3,N50046,34373,"{'total': 23, 'passengers': 20, 'crew': 3}","{'total': 3, 'passengers': 2, 'crew': 1}",0.0,"The aircraft diverted from Washington to Millville because of heavy traffic in the Washington area.  Near fuel exhaustion forced the crew to carry out an emergency landing. While maneuvering to find a suitable location during heavy snow, the aircraft struck trees and crashed. Failure of the Weather Bureau  to anticipate below minimum conditions north and south of Washington. Failure of CAA to transmit the flight plan to Millville in sufficient time to alert that station to the arrival of the flight.",23,3,Nationwide Air Transport,"{'place_id': 1860125, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 158638113, 'lat': '39.4342818', 'lon': '-75.1212927', 'class': 'place', 'type': 'hamlet', 'place_rank': 20, 'importance': 0.25001, 'addresstype': 'hamlet', 'name': 'Carmel', 'display_name': 'Carmel, Deerfield Township, Cumberland County, New Jersey, 08352, United States', 'boundingbox': ['39.4142818', '39.4542818', '-75.1412927', '-75.1012927']}",USA,"New Jersey, United States",NJ
1940,1947-01-12,0138,"Near Galax, Virginia",Eastern Air Lines,665,"Akron, OH - Winston/Salem, NC",Douglas DC-3,NC88872,3274,"{'total': 19, 'passengers': 16, 'crew': 3}","{'total': 18, 'passengers': 15, 'crew': 3}",0.0,"The aircraft flew into the ground at an altitude of 2,500 ft., 63 miles northwest of Winston-Salem. The pilot took an unapproved route and let down without having positively determined the position of the aircraft.  A contributing factor was the erroneous navigation of the pilot which on at least two occasions led him to believe that he was farther south than he actually was.",19,18,Eastern Air Lines,"{'place_id': 3532948, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 224042, 'lat': '37.1232245', 'lon': '-78.4927721', 'class': 'boundary', 'type': 'administrative', 'place_rank': 8, 'importance': 0.7374285571, 'addresstype': 'state', 'name': 'Virginia', 'display_name': 'Virginia, United States', 'boundingbox': ['36.5407896', '39.4660120', '-83.6753671', '-75.1664350']}",USA,"Virginia, United States",VA
1940,1947-02-05,,"Harrington, Delaware",International Air Freight,,"New York, NY - Raleigh, NC",Douglas DC-3,NC54451,13873/25318,"{'total': 3, 'passengers': 0, 'crew': 3}","{'total': 1, 'passengers': 0, 'crew': 1}",0.0,"The cargo plane diverted to Harrington after a No. 2 engine rpm reduction. The plane approached downwind, overshot and struck some trees. Fuel contamination.",3,1,International Air Freight,"{'place_id': 1910401, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 6291544, 'lat': '38.9237244', 'lon': '-75.5777033', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.4168032458, 'addresstype': 'village', 'name': 'Harrington', 'display_name': 'Harrington, Kent County, Delaware, United States', 'boundingbox': ['38.9057930', '38.9367910', '-75.5906860', '-75.5514930']}",USA,"Delaware, United States",DE
1940,1947-02-14,04:20,"Denver, Colorado",Slick Airways,,"Omaha, NE - Denver, CO",Curtiss C-46E,NC59486,2944,"{'total': 2, 'passengers': 0, 'crew': 2}","{'total': 2, 'passengers': 0, 'crew': 2}",0.0,Cargo flight. The momentary loss of control or overcontrol by the pilot at a critically low altitude in the final stages of an ILS approach. A contributing factor was the failure of the safety pilot to remain alert to the altitude of the aircraft.,2,2,Slick Airways,"{'place_id': 317126410, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1411339, 'lat': '39.7392364', 'lon': '-104.984862', 'class': 'boundary', 'type': 'administrative', 'place_rank': 12, 'importance': 0.5954758739, 'addresstype': 'city', 'name': 'Denver', 'display_name': 'Denver, Colorado, United States', 'boundingbox': ['39.6143008', '39.9142087', '-105.1098845', '-104.5996997']}",USA,"Colorado, United States",CO
1940,1947-04-22,1040,"Columbus, Georgia",Delta Air Lines,,Macon - Columbus,Douglas DC-3 (C-47DL) /Vultee BT-13,N49657 / N55312,9066,"{'total': 10, 'passengers': 8, 'crew': 2}","{'total': 10, 'passengers': 8, 'crew': 2}",0.0,"A private plane landed on top of the DC-3 while it was taking off.  After rising to a height of 150 ft., the tail of the DC-3 was forced down and both planes crashed in flames. All 9 killed aboard the DC-3 and one aboard the private plane were killed.  The failure of the pilot in the BT-13 to fly a standard left hand pattern in his approach to the airport and to keep a diligent lookout for other traffic.",10,10,Delta Air Lines,"{'place_id': 301899, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1850813, 'lat': '32.4610708', 'lon': '-84.9880449', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.5407342832, 'addresstype': 'city', 'name': 'Columbus', 'display_name': 'Columbus, Muscogee County, Georgia, United States', 'boundingbox': ['32.3738385', '32.6081231', '-85.0792070', '-84.6674630']}",USA,"Georgia, United States",GA
1940,1947-05-11,0939,"Delaware Bay, New Jersey",Trans Continental and Western Air,,Training,Lockheed L-049 Constellation,NC86508,2029,"{'total': 4, 'passengers': 0, 'crew': 4}","{'total': 4, 'passengers': 0, 'crew': 4}",0.0,"Went into a turn and lost control, spiraled into the ground. Loss of control of the aircraft for reasons undetermined.",4,4,Trans Continental and Western Air,"{'place_id': 1843997, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 11155388, 'lat': '39.11380655', 'lon': '-75.14868800418526', 'class': 'natural', 'type': 'bay', 'place_rank': 22, 'importance': 0.4350482015, 'addresstype': 'bay', 'name': 'Delaware Bay', 'display_name': 'Delaware Bay, Cumberland County, New Jersey, United States', 'boundingbox': ['38.7822642', '39.4453049', '-75.5413372', '-74.8850114']}",USA,"New Jersey, United States",NJ
1940,1947-05-29,1905,"La Guardia Airport, Queens, New York",United Air Lines,521,New York City - Cleveland,Douglas C-54B,NC30046,18324,"{'total': 48, 'passengers': 44, 'crew': 4}","{'total': 43, 'passengers': 41, 'crew': 2}",0.0,"The aircraft overran the runway during an attempted takeoff, crashed and caught fire. Either the failure of the pilot to release the gust lock before take-off or his decision to discontinue the take-off because of apprehension resulting from rapid use of a short runway under a possible calm wind condition.",48,43,United Air Lines,"{'place_id': 15576781, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 198597589, 'lat': '40.7757145', 'lon': '-73.87336398511545', 'class': 'aeroway', 'type': 'aerodrome', 'place_rank': 30, 'importance': 0.4937999079, 'addresstype': 'aeroway', 'name': 'LaGuardia Airport', 'display_name': 'LaGuardia Airport, Marine Terminal Road, Queens County, New York, 11371, United States', 'boundingbox': ['40.7649593', '40.7864458', '-73.8892502', '-73.8512250']}",USA,"New York, United States",NY
1940,1947-05-30,1741,"Port Deposit, Maryland",Eastern Air Lines,605,Newark - Baltimore - Miami,Douglas C-54B-15-DO,NC88814,18380,"{'total': 53, 'passengers': 49, 'crew': 4}","{'total': 53, 'passengers': 49, 'crew': 4}",0.0,"While on approach to Baltimore at 4,000 ft., the plane suddenly went into a nose dive, inverted and crashed.  Possible problems with the elevator. The official cause was never determined.",53,53,Eastern Air Lines,"{'place_id': 5880714, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 133645, 'lat': '39.6029087', 'lon': '-76.1132172', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.39871541920000003, 'addresstype': 'town', 'name': 'Port Deposit', 'display_name': 'Port Deposit, Cecil County, Maryland, 21094, United States', 'boundingbox': ['39.5943786', '39.6246357', '-76.1311680', '-76.0763552']}",USA,"Maryland, United States",MD
1940,1947-06-13,1816,"Leesburg, Virginia",Pennsylvania Central Airlines,410,Pittsburgh - Washington D.C.,Douglas DC-4 (C-54-DO),NC88842,3112,"{'total': 50, 'passengers': 47, 'crew': 3}","{'total': 50, 'passengers': 47, 'crew': 3}",0.0,"The aircraft crashed into a ridge at Lookout Rock, 8 miles SE of Charles Town, WV during a rainstorm. The action of the pilot in descending below the minimum en route altitude under conditions of weather which prevented adquate visual reference to the ground.  A contributing cause was the faulty clearance given by ATC.",50,50,Pennsylvania Central Airlines,"{'place_id': 4845276, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 206884, 'lat': '39.1154506', 'lon': '-77.5645607', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.4168032458, 'addresstype': 'town', 'name': 'Leesburg', 'display_name': 'Leesburg, Loudoun County, Virginia, United States', 'boundingbox': ['39.0676224', '39.1385274', '-77.6024279', '-77.5079266']}",USA,"Virginia, United States",VA
1940,1947-07-13,0430,"Melbourne, Florida",Burke Air Transport,,Newark - Miami,Douglas DC-3,NC79024,9887,"{'total': 36, 'passengers': 33, 'crew': 3}","{'total': 14, 'passengers': 12, 'crew': 2}",0.0,"The aircraft, on a charter flight from New York to San Juan, Puerto Rico, crashed into a swamp while attempting to make an emergency landing. Loss of an engine due to a fuel flow problem led to loss of altitude and a crash landing. Six spark plugs in the right engine were found to be defective. A defect found in the carburetor may have contributed to excessive fuel loss. Crew fatigue contributed to the accident.",36,14,Burke Air Transport,"{'place_id': 291980682, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 117646, 'lat': '28.106471', 'lon': '-80.6371513', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.4372347153, 'addresstype': 'city', 'name': 'Melbourne', 'display_name': 'Melbourne, Brevard County, Florida, United States', 'boundingbox': ['28.0350148', '28.2005330', '-80.7482559', '-80.5749441']}",USA,"Florida, United States",FL
1940,1947-08-08,1849,"New York, New York",American Airlines,,New York - Buffalo,Douglas DC-3C,NX88787,19639,"{'total': 5, 'passengers': 3, 'crew': 2}","{'total': 3, 'passengers': 1, 'crew': 2}",0.0,"Cargo flight. Lost an engine on takeoff and decided to return to the airport. Following an attempted landing, a miss approach procedure was attempted for a second landing without sufficient air speed for single engine operation.",5,3,American Airlines,"{'place_id': 371663561, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 175905, 'lat': '40.7127281', 'lon': '-74.0060152', 'class': 'boundary', 'type': 'administrative', 'place_rank': 10, 'importance': 0.8175766115, 'addresstype': 'city', 'name': 'New York', 'display_name': 'New York, United States', 'boundingbox': ['40.4765780', '40.9176300', '-74.2588430', '-73.7002330']}",USA,"New York, United States",NY
1940,1947-08-21,0611,"Hanksville, Utah",Slick Airways,,,Curtiss C-46E,NC59488,2935,"{'total': 3, 'passengers': 1, 'crew': 2}","{'total': 3, 'passengers': 1, 'crew': 2}",0.0,The cargo plane entered a thunderstorm and struck Blue Bell Knoll Mountain. The continuation of the flight into instrument weather conditions over mountainous terrain at an altitude too low to clear the mountains en route.,3,3,Slick Airways,"{'place_id': 317709634, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 198946, 'lat': '38.3737755', 'lon': '-110.706401', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.2806663593, 'addresstype': 'town', 'name': 'Hanksville', 'display_name': 'Hanksville, Wayne County, Utah, 84734, United States', 'boundingbox': ['38.3598519', '38.3817629', '-110.7309281', '-110.6937176']}",USA,"Utah, United States",UT
