,Decade,Date,Time,Location,Operator,Flight_Num,Route,Ac_Type,Registration,Cn_Ln,Aboard,Fatalities,Ground,Summary,Aboard_Total,Fatalities_Total,Operator_vs_Military,Country_location
421,1940,1946-07-20,12:15,Off the Panama coast,Military -  (2) U.S. Army Air Forces,,,Boeing B-17G / Boeing B-17G,4485624/4485626,,"{'total': 20, 'passengers': None, 'crew': None}","{'total': 20, 'passengers': None, 'crew': None}",0.0,"The two aircraft collided in midair, 20 miles north of the Panamanian island of Coiba while searching for a missing plane. Ten died aboard each aircraft.",20,20,Military,Off the Panama coast
441,1940,1946-09-25,09:31,Near Hong Kong International Airport,Military - Royal Air Force,,Hong Kong - Singapore,Douglas C-47B-25-DK,KN414,16091/32839,"{'total': 19, 'passengers': 14, 'crew': 5}","{'total': 19, 'passengers': 14, 'crew': 5}",0.0,"The aircraft departed Hong Kong, Runway 31, climbing to a height of 700-800 feet. At that point the airplane lost control and crashed. The Dakota possibly stalled after encountering turbulence from the foothills.",19,19,Military,Near Hong Kong International Airport
490,1950,1952-03-24,03:10,"Near Gao, French West Africa",Société Aérienne de Tr. Tropicaux,,"Gao, FWA - Nice, France",Lockheed 18 Lodestar,F-ARTE,2005,"{'total': 21, 'passengers': 18, 'crew': 3}","{'total': 17, 'passengers': 14, 'crew': 3}",0.0,Crashed after taking off. Pilot failed to maintain altitude after taking off for reasons unknown. May have been pilot fatigue.,21,17,Société Aérienne de Tr. Tropicaux,"Near Gao, French West Africa"
531,1950,1952-12-06,,"Near Sofia, Bugaria",TABSO,,Sofia - Varna,Lisunov Li-2,,,"{'total': 18, 'passengers': None, 'crew': None}","{'total': 18, 'passengers': None, 'crew': None}",0.0,Crashed en route.,18,18,TABSO,"Near Sofia, Bugaria"
566,1970,1978-09-03,1730,"Near Kariba, Rhodesia (Zimbabwe)",Air Rhodesia,825,Kariba - Salisbury,Vickers Viscount 782D,VP-WAS,297,"{'total': 56, 'passengers': 52, 'crew': 4}","{'total': 38, 'passengers': 34, 'crew': 4}",0.0,"The aircraft took off from  from Kariba Airport at 17.10.  Shortly after departing Kariba, the starboard wing was hit by a SAM-7 missile.  The crew tried to make an emergency landing in a large clearing in the bush. The aircraft crash landed, striking an irrigation ditch, cart-wheeled, broke up and caught fire.  Soldiers from the Joshua Nkomo's Zimbabwe Peoples Revolution Army, who were responsible for shooting down the airliner, later killed 10 of the 18 survivors. The remaining survivors were rescued the next day.",56,38,Air Rhodesia,"Near Kariba, Rhodesia (Zimbabwe)"
618,1940,1944-08-29,0002,"Near Lidköping, Västergötland, Swden",British Overseas Airways,,Stockholm - Leuchars,Lockheed 18-56 Loadstar,G-AGIH,2491,"{'total': 15, 'passengers': 12, 'crew': 3}","{'total': 11, 'passengers': 8, 'crew': 3}",0.0,"While cruising at night, the aircraft crashed into the slopes of Mt. Kinnekulle after diverting towards Gothenburg due to radio problems.",15,11,British Overseas Airways,"Near Lidköping, Västergötland, Swden"
669,1950,1950-06-05,2203,Atlantic Ocean off Florida,Westair Transport,,San Juan - Wilmington NC,Curtiss C-46-F-1-CU,N1248N,22496,"{'total': 65, 'passengers': 62, 'crew': 3}","{'total': 28, 'passengers': 28, 'crew': 0}",0.0,"Ditched into the Atlantic 300 miles east of Melbourne, Florida on a flight from San Juan, Porto Rico to Wilmington, North Carolina due to failure of both engines. It sank in one of the deepest areas of the Atlantic and could not be recovered. Failure of both engines for reasons unknown.",65,28,Westair Transport,Atlantic Ocean off Florida
697,1950,1950-10-13,1049,"Almelund, Minnisota",Northwest Orient Airlines,,Training,Martin 202,NC93037,9158,"{'total': 6, 'passengers': 3, 'crew': 3}","{'total': 6, 'passengers': 3, 'crew': 3}",0.0,"Crashed after making a steep right turn during a training manuver. The unwanted reversal of the right propeller during flight, as a result of which the crew was unable to maintain control of the aircraft.",6,6,Northwest Orient Airlines,"Almelund, Minnisota"
708,1950,1950-12-08,1937,"Bangui, French Equatorial Africa",T.A. Intercontinentaux,,Paris - Bangui - Dar es-Salaam,Douglas C-54A,F-BELB,3084,"{'total': 56, 'passengers': 50, 'crew': 6}","{'total': 46, 'passengers': 43, 'crew': 3}",0.0,Crashed into a mountain in the Pyrenees 5 minutes after takeoff. Crew error. Excessive low rate of climb at night in an unknown region and premature change of heading.,56,46,T.A. Intercontinentaux,"Bangui, French Equatorial Africa"
762,1980,1987-11-29,1130,Over the Andaman Sea,Korean Airlines,858,Abu Dhabi - Bangkok,Boeing B-707-3B5C,HL-7406,20522/855,"{'total': 115, 'passengers': 104, 'crew': 11}","{'total': 115, 'passengers': 104, 'crew': 11}",0.0,"The plane crashed while on a flight from Abu Dhabi to Bangkok. Detonation of an explosive device in the passenger cabin left by two passengers who exited  the plane at Abu Dhabi. A 75 year old man and Korean woman were arrested as they tried to use fake passports to fly to Rome. While under guard, the man bit into a cyanide capsule and died. The woman, a North Korean agent, confessed to the crime.",115,115,Korean Airlines,Over the Andaman Sea
954,1950,1951-02-03,1430,"Near Mt. Cameroon, Buea, British Cameroons",Air France,,Douala - Niamey,Douglas DC-4,F-BBDO,42992,"{'total': 29, 'passengers': 23, 'crew': 6}","{'total': 29, 'passengers': 23, 'crew': 6}",0.0,"Crashed into a mountain at 8,500 feet. Navigation error. Incorrect procedures followed by crew. The crew followed a different and inaccurate course.",29,29,Air France,"Near Mt. Cameroon, Buea, British Cameroons"
960,1950,1951-03-23,0050,Over the North Atlantic,Military - U.S. Air Force,,Loring AFB - Lakeheath AFB,Douglas C-124A Globemaster,49-0244,43173,"{'total': 53, 'passengers': 48, 'crew': 5}","{'total': 53, 'passengers': 48, 'crew': 5}",0.0,"The aircraft may have suffered an catastrophic explosion and crashed into the sea approximately 450 miles west of Limerick, Ireland. Early report of life rafts and survivors turned out to be incorrect. Cause unknown.",53,53,Military,Over the North Atlantic
995,1950,1951-09-27,,Near Tachikawa Air Base,Military - US Air Force,,Ashiya - Tachikawa AB,Fairchild C-119C-15-FA Flying Boxcar,49-169,10406,"{'total': 14, 'passengers': 0, 'crew': 14}","{'total': 14, 'passengers': 0, 'crew': 14}",0.0,"Crashed into the slope of Mt Tanazawa, 28 km northwest of the airbase while operating with the 314th Troop Carrier Wing.",14,14,Military,Near Tachikawa Air Base
1085,1940,1945-11-15,0914,Near Jacquinot Bay  New Guinea,Military - Royal Australian Air Force,,Lae - Finschhafen - Jacquinot Bay - Rabaul,Douglas C-47 Dakota-DK,A6554,26640,"{'total': 28, 'passengers': 25, 'crew': 3}","{'total': 28, 'passengers': 25, 'crew': 3}",0.0,"Crashed into a 7,598 ft. mountain in the region of Wide Bay, 150 feet below the ridge, shortly after taking off. There were Australian and Indian soldiers on board.",28,28,Military,Near Jacquinot Bay  New Guinea
1088,1940,1945-12-05,2000,Off the Florida coast,Military - U.S. Navy,19,,Five Grumman TBM Avengers,,,"{'total': 14, 'passengers': 0, 'crew': 14}","{'total': 14, 'passengers': 0, 'crew': 14}",0.0,"The five aircraft, (23307) (73209) (46325) (46094) (45714), flying out of the U.S. Naval Air Station at Fort Lauderdale, on a training mission,  became lost, ran out of fuel and crashed into the Atlantic Ocean.  No trace of the planes were ever found. This was the incident that began the ""Bermuda Triangle"" legend.",14,14,Military,Off the Florida coast
1092,1940,1945-12-25,1930,"Bangui, French Equatorial Africa",Air France,,Paris - N’Djamena - Bangui - Antananarivo,Lockheed 18 Lodestar,F-BALV,2380,"{'total': 8, 'passengers': 5, 'crew': 3}","{'total': 8, 'passengers': 5, 'crew': 3}",0.0,The aircraft went out of control and crashed in a wooded area located about 60 km west of Bangui Airport.,8,8,Air France,"Bangui, French Equatorial Africa"
1171,1940,1941-08-27,,"Coen, Australila",Airlines of Australia,,Horn Island - Coen - Cairns,de Havilland DH.80 Puss Moth,VH-UQL,2088,"{'total': 3, 'passengers': 2, 'crew': 1}","{'total': 3, 'passengers': 2, 'crew': 1}",0.0,On approach the left wing broke off and the aircraft crashed in a field.,3,3,Airlines of Australia,"Coen, Australila"
1200,1950,1955-03-26,1112,Off the Oregon coast,Pan American World Airways,845/26,Portland - Honolulu,Boeing 377 Stratocruiser 10-26,N1032V,15932,"{'total': 23, 'passengers': 15, 'crew': 8}","{'total': 4, 'passengers': 2, 'crew': 2}",0.0,"The plane ditched 35 miles off the Oregon coast after the No. 3 engine and propeller broke away causing severe control difficulties. The plane sank after 20 minutes. Loss of control and inability to maintain altitude following failure of the No. 3 propeller which resulted in wrenching free the No. 3 power  package. The aircraft was named ""Clipper United States.""",23,4,Pan American World Airways,Off the Oregon coast
1313,1980,1982-02-03,0730,"Djibouti, Djbouti",Military - French Air Force,,Training,Nord 2501 Noratlas,140/88JA,140,"{'total': 35, 'passengers': 30, 'crew': 5}","{'total': 35, 'passengers': 30, 'crew': 5}",0.0,Crashed into a mountain before a planned paratroop drop.,35,35,Military,"Djibouti, Djbouti"
1368,1990,1996-02-06,2347,"Off Puerto Plata, Domincan Republic","Alas Nacionales, leased from Birgen Air",301,Puerto Plata - Gander,Boeing B-757-225,TC-GEN,22206/31,"{'total': 189, 'passengers': 176, 'crew': 13}","{'total': 189, 'passengers': 176, 'crew': 13}",0.0,"The plane crashed into the Atlantic Ocean, 21 km north of Puerto Plata, shortly after taking off. Incorrect airspeed indications resulting from a clogged pitot tube. The readings were greater than the actual airspeed resulting in the crew reducing  power and leading to a stall. Failure of the crew to recognize the activation of the control column shaker as a warning of an imminent stall. Failure of the crew to carry out the procedures to recover the aircraft from the stall and restore lift.",189,189,"Alas Nacionales, leased from Birgen Air","Off Puerto Plata, Domincan Republic"
1402,1990,1996-08-18,1950,"Near Alliford Bay, British Columbia, Canada2",Harbour Air,,Tasu - Alliford,de Havilland Canada DHC-3 Turbo Otter,C-GCMY,32,"{'total': 3, 'passengers': 2, 'crew': 1}","{'total': 3, 'passengers': 2, 'crew': 1}",0.0,"While en route, flew into the side of a mountain. The pilot probably made a navigational error because of restricted visibility in fog and light drizzle and entered the wrong valley, and he delayed his decision to reverse course until he was unable to avoid the weather.",3,3,Harbour Air,"Near Alliford Bay, British Columbia, Canada2"
1403,1990,1996-08-19,0316,"Belgrade, Yugosalvia",Spair Air Transport,,Belgrade - Malta,Ilyushin IL-76T,RA-76513,083414451,"{'total': 12, 'passengers': 2, 'crew': 10}","{'total': 12, 'passengers': 2, 'crew': 10}",0.0,"After taking off from Belgrade, the plane experienced electrical problems and returned to the airport. After dumping fuel and circling for 3 hours, the plane crashed into a corn field 800m short of the runway.",12,12,Spair Air Transport,"Belgrade, Yugosalvia"
1484,1990,1997-12-28,2310,Over the Pacific Ocean,United Air Lines,826,Tokyo - Honolulu,Boeing B-747-122,N4723U,19882/175,"{'total': 393, 'passengers': 374, 'crew': 19}","{'total': 1, 'passengers': 1, 'crew': 0}",0.0,"Two hours into the flight, at FL 310, the plane received reports of severe clear air turbulence in the area and the seat belt sign was turned on. Moments later, the aircraft suddenly dropped around one hundred feet seriously injuring many passengers and causing damage to the aircraft. The plane landed safely back at Tokyo, but  one passenger died of her injuries.",393,1,United Air Lines,Over the Pacific Ocean
1555,1960,1968-04-20,2050,"Near Windhoek, South-West  Africa (Namibia)",South African Airways,228/129,Windhoek - Luanda,Boeing B-707-344C,ZS-EUW,19705,"{'total': 128, 'passengers': 116, 'crew': 12}","{'total': 123, 'passengers': 111, 'crew': 12}",0.0,"The aircraft took off from J. G. Strijdom Airport, climbed to an altitude of 600 ft. and then descended, crashing, about one minute after taking off 3 miles from the runway. Procedural errors during takeoff . Takeoff conditions in total darkness with no external visual reference. Stabilizer trim improperly set, spatial disorientation and preoccupation with after takeoff duties.",128,123,South African Airways,"Near Windhoek, South-West  Africa (Namibia)"
1644,1950,1954-08-27,2211,"Near Rapid City, South Dekota",Military - U.S. Air Force,,Training,Convair RB-36H,51-13722,,"{'total': 27, 'passengers': 23, 'crew': 4}","{'total': 26, 'passengers': 23, 'crew': 3}",0.0,Crashed while making practice approaches to Ellsworth Air Force Base during its sixth attempt. The plane slammed into to ground with landing gear retracted and flaps set at 20 degrees.,27,26,Military,"Near Rapid City, South Dekota"
1674,1940,1940-08-22,,"Gospic,,Coatia",Aeroput,,Zagreb - Split,Lockheed 10 Electra,YU-SBC,1135,"{'total': 11, 'passengers': 9, 'crew': 2}","{'total': 11, 'passengers': 9, 'crew': 2}",0.0,Hit a mountain slope while en route.,11,11,Aeroput,"Gospic,,Coatia"
1724,1950,1956-10-16,0615,Over the Pacific Ocean,Pan American World Airways,943,Honolulu - San Francisco,Boeing  377 Stratocruiser,N90943,15959,"{'total': 31, 'passengers': 24, 'crew': 7}","{'total': 0, 'passengers': 0, 'crew': 0}",0.0,"The aircraft ditched into the Pacific Ocean while on a flight from San Francisco to Honolulu after losing the No. 1 and then the No. 4 engine. The aircraft circled around the U.S. Coast Guard cutter ""Pontchartrain"", at Ocean Station November until daybreak after which it made a successful ditching with no casualties. Probable Cause: An initial mechanical failure which precluded feathering the No.1 propeller and a subsequent mechanical failure which resulted in a complete loss of power from the No.4 engine, the effects of which necessitated a ditching. The aircraft was named ""Clipper Sovereign of the Sky.""",31,0,Pan American World Airways,Over the Pacific Ocean
1726,1950,1956-10-28,2200,Over the Mediterranean Sea,Military - Egyptian Air Force,,Damascus- Cairo,Curtiss C-46,SU-AAB,,"{'total': 16, 'passengers': 12, 'crew': 4}","{'total': 16, 'passengers': 12, 'crew': 4}",0.0,Shot down by the Israeli Air Force.,16,16,Military,Over the Mediterranean Sea
1762,1940,1942-09-24,,Off West Africa,British Overseas Airways,,Lagos - Bathurst - Lisbon - Poole,Short S-30 (flying boat),G-AFCZ,S-885,"{'total': 19, 'passengers': 13, 'crew': 6}","{'total': 19, 'passengers': 13, 'crew': 6}",0.0,"Possible catastrophic in-flight fire possibly related to the design of its fuel-intake system, 90 minutes after departure.",19,19,British Overseas Airways,Off West Africa
1779,1990,1995-01-10,,"Off Flores Island, Inodnesia",Merpati Nusantara Airlines,6715,Bima - Ruteng,de Havilland Canada DHC-6 Twin Otter 300,PK-NUK,390,"{'total': 14, 'passengers': 10, 'crew': 4}","{'total': 14, 'passengers': 10, 'crew': 4}",0.0,"The aircraft disappeared while en route from Bima, Sumbawa Island to Ruteng, Flores Island, and crashed into the Molo Strait. The accident occurred in daylight, in poor weather.",14,14,Merpati Nusantara Airlines,"Off Flores Island, Inodnesia"
1845,1980,1981-02-26,0525,Off Tabones Island  Philippines,Military - U.S. Air Force,,Training,Lockheed MC-130E-Y,64-0564,4074,"{'total': 24, 'passengers': 15, 'crew': 9}","{'total': 23, 'passengers': 15, 'crew': 8}",0.0,"The military transport crashed into Subic Bay, 15 miles west-northwest of Cubi Point Naval Air Station where it had taken off an hour earlier and where it was on approach to land. Witnesses saw the aircraft flying at a low altitude just before crashing into the sea and exploding in flames.",24,23,Military,Off Tabones Island  Philippines
1890,1980,1980-01-11,0123,Over the Atlantic Ocean,Private charter,,Shreveport - Baton Rouge,Cessna 441 Conquest,N442NC,,"{'total': 2, 'passengers': 1, 'crew': 1}","{'total': 2, 'passengers': 1, 'crew': 1}",0.0,"The plane was on a 45 minute fight from Shreveport to Baton Rouge Louisiana. The aircraft climbed past its assigned altitude and veered to the northeast. The FAA  tried to contact the aircraft without success. Fighter jets was scrambled to intercept the plane but observed no one at the controls and got no response to radio calls. The plane rose to an altitude of 41,600 feet and headed out to sea. The plane eventually ran out of fuel, descended to about 25,000 feet, went into a spin and crashed into 1,100 feet of water. No wreckage or remains were ever recovered. The official cause remains unknown although it is believed the occupants lost consciousness due to oxygen deprivation. Louisiana State University football coach Robert ""Bo"" Rein, 34, was killed.",2,2,Private charter,Over the Atlantic Ocean
1942,1990,1994-03-17,2230,Near Nag,Military - Iranian Air Force,-,Tehran - Moscow,Lockheed Hercules C-130,5-8521,4432,"{'total': 32, 'passengers': 19, 'crew': 13}","{'total': 32, 'passengers': 19, 'crew': 13}",0.0,Shot down with a missile by Armenian forces while en route.,32,32,Military,Near Nag
2021,1940,1943-06-01,1100,Off the coast of France,British Overseas Airways,777,Lisbon - Bristol,Douglas DC-3,G-AGBB,1590,"{'total': 17, 'passengers': 13, 'crew': 4}","{'total': 17, 'passengers': 13, 'crew': 4}",0.0,"Shot down by the German Air Force over the Bay of Biscay. The last message received from the plane was it was being attacked by an enemy aircraft. The aircraft had a Dutch crew. British actor Leslie Howard, 42, killed. It has been speculated that the plane was attacked because the Germans believed that British Prime Minister Winston Churchill was aboard. Other theories suggest the plane was targeted because several passengers, including Howard, were British spies.",17,17,British Overseas Airways,Off the coast of France
2067,1950,1957-03-22,0037,Over the North Pacific Ocean,Military - U.S. Air Force,,Travis AFB - Tokyo,Boeing C-97C,50-702A,16246,"{'total': 67, 'passengers': 57, 'crew': 10}","{'total': 67, 'passengers': 57, 'crew': 10}",0.0,"Disappeared in  a storm 200 miles southeast of Tokyo, Japan while on a flight from Travis Air Force Base to Tokyo.  Cause unknown.",67,67,Military,Over the North Pacific Ocean
2147,1920,1924-04-24,,Over the English Channel,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,"{'total': 3, 'passengers': 2, 'crew': 1}","{'total': 3, 'passengers': 2, 'crew': 1}",0.0,The aircraft disappeared over the North Sea. The plane and passengers were never found.,3,3,KLM Royal Dutch Airlines,Over the English Channel
2202,2000,2008-12-15,1640,Off Turks and Caicos Islands,Alantis Aviation,,"Santiago, Dominican Republic - Providenciales",Britten Norman BN-2A Trislander Mk3,N650LP,1029,"{'total': 12, 'passengers': 11, 'crew': 1}","{'total': 12, 'passengers': 11, 'crew': 1}",0.0,The charter flight disappeared from radar 35 minutes into the flight and after the pilot radioed a mayday call. Probably crashed into the ocean. Never found.,12,12,Alantis Aviation,Off Turks and Caicos Islands
2222,2000,2009-01-04,1530,Near Houma Louisiana,Petroleum Helicopters Inc,,Bayou Penchant - Off shore oil fields,Sikorsky S-76C++,N748P,760629,"{'total': 9, 'passengers': 7, 'crew': 2}","{'total': 8, 'passengers': 6, 'crew': 2}",0.0,"A helicopter bound for offshore oil fields went down about 75 miles southwest of New Orleans shortly after taking off. The sudden loss of power to both engines that resulted from impact with a red-tailed hawk, which fractured the windshield and interfered with engine fuel controls and the subsequent disorientation of the flightcrrew members. Also the lack of FAA regulations and guidance at the time the helicopter was certificated requiring helicopter windshields to be resistant to bird strikes and the lack of protections that would prevent T-handles from inadvertently dislodging out of the detents and the lack of a master warning light and audible system to alert the flightcrew of low-rotor speed conditions.",9,8,Petroleum Helicopters Inc,Near Houma Louisiana
2255,2000,2009-09-08,1030,"Ugamsk Gorge, South Kazakistan",Military - Kazakhstan border guard service,,Patrol,Mil Mi-8,,,"{'total': 13, 'passengers': None, 'crew': None}","{'total': 10, 'passengers': None, 'crew': None}",0.0,The helicopter crashed while while pursuing suspected gunmen near the Uzbek border.,13,10,Military,"Ugamsk Gorge, South Kazakistan"
2327,1920,1927-11-16,,Over the Gulf of Finland,Aero O-Y,,Tallinn - Helsinki,Junkers F-13,K-SALD,798,"{'total': 6, 'passengers': 4, 'crew': 2}","{'total': 6, 'passengers': 4, 'crew': 2}",0.0,Crashed in the gulf of Finland and never found.,6,6,Aero O-Y,Over the Gulf of Finland
2364,2020,2022-05-29,1010,Near Lete Pass,Tara Air,,Pokhara - Jomsom,de Havilland Canada DHC-6 Twin Otter 300,9N-AET,619,"{'total': 22, 'passengers': 19, 'crew': 3}","{'total': 22, 'passengers': 19, 'crew': 3}",0.0,"After takeoff, the pilot initiated a left turn to the left and continued to climb to 12,000 feet after which a turn was initiated to the right. In limited visibility, the aircraft impacted the slope of a mountain located in the area of Shikha,14 km southwest of Annapurna Mountain. The wreckage was found the following day. The aircraft disintegrated on impact killing all 22 occupants.",22,22,Tara Air,Near Lete Pass
2405,1920,1926-10-02,1527,"Leigh, Kent, Unied Kingdom",Air Union,,Paris - London,Bleriot 155,F- AICQ,1,"{'total': 7, 'passengers': 5, 'crew': 2}","{'total': 7, 'passengers': 5, 'crew': 2}",0.0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..",7,7,Air Union,"Leigh, Kent, Unied Kingdom"
2465,1930,1936-12-07,1047,"Off Dakar, French West Africa",Air France,,Marseille - Dakar - Natal - Rio de Janeiro,Latécoère 300 (float plane.,F-AKGF,01,"{'total': 5, 'passengers': 1, 'crew': 4}","{'total': 5, 'passengers': 1, 'crew': 4}",0.0,"The last message from the aviator was ""we have switched off the rear engine."" The plane and crew of four were never found. Aviator Jean Mermoz killed.",5,5,Air France,"Off Dakar, French West Africa"
2484,1930,1937-06-02,,Desertores Island Región de Los Lagos,Fuerzs Aerea De Chile,,Puerto Montt - Punta Arenas,Sirkorsky S-43 (flying boat),2,4319,"{'total': 9, 'passengers': 5, 'crew': 4}","{'total': 9, 'passengers': 5, 'crew': 4}",0.0,"En route, while cruising off the Chiloé Islands, the aircraft disappeared and crashed into the sea. Some debris were found few days later on the shores of the Desertores Island. No trace of the occupants was found.",9,9,Fuerzs Aerea De Chile,Desertores Island Región de Los Lagos
2498,1930,1937-10-27,0423,Off Western Africa,Air France,,Dakar - Casablanca,Dewoitine D-333,F-ALQA,01,"{'total': 7, 'passengers': 2, 'crew': 5}","{'total': 7, 'passengers': 2, 'crew': 5}",0.0,Disappeared after sending a distress call while en route. Apparently crashed into the sea.,7,7,Air France,Off Western Africa
2520,1920,1923-12-23,c 02:30,Over the Mediterranean Sea,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,,"{'total': 52, 'passengers': None, 'crew': None}","{'total': 52, 'passengers': None, 'crew': None}",0.0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",52,52,Military,Over the Mediterranean Sea
2525,1930,1935-02-12,,"Off Point Sur, Californiia",Military - US Navy,,,Goodyear-Zeppelin U.S.S. Macon (airship),ZRS-4,,"{'total': 83, 'passengers': 0, 'crew': 83}","{'total': 2, 'passengers': 0, 'crew': 2}",0.0,The airship suffered structural failure in a storm. The airship descended slowly and most of the crew were able to escape. This accident ended the US Navy's airship program.,83,2,Military,"Off Point Sur, Californiia"
2564,1920,1921-02-03,,"Mendotta, Minnisota",US Aerial Mail Service,,,De Havilland DH-4,130,,"{'total': 1, 'passengers': 0, 'crew': 1}","{'total': 1, 'passengers': 0, 'crew': 1}",0.0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,1,1,US Aerial Mail Service,"Mendotta, Minnisota"
2566,1920,1921-02-15,,Off Gibraltar,Aeropostale,,,Breguet 14,F-ALBA,,"{'total': 2, 'passengers': 0, 'crew': 2}","{'total': 2, 'passengers': 0, 'crew': 2}",0.0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,2,2,Aeropostale,Off Gibraltar
2615,1910,1913-09-09,1830,Over the North Sea,Military - German Navy,,,Zeppelin L-1 (airship),,,"{'total': 20, 'passengers': None, 'crew': None}","{'total': 14, 'passengers': None, 'crew': None}",0.0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,20,14,Military,Over the North Sea
